api_provider,api_name,type,env_key,env_key_set,configured_in,callers,data_produced,ui_surfaces,status,owner_action_needed
Supabase,supabase-client,SDK,VITE_SUPABASE_URL + VITE_SUPABASE_ANON_KEY,YES,src/lib/supabase.ts,All 115 hooks + all pages,All DB tables,All hubs,LIVE,No
Supabase,auth,SDK,VITE_SUPABASE_URL,YES,src/lib/supabase.ts,"App.tsx AuthProvider, useAuth",user sessions / JWT,All portals (auth gates),LIVE,No
Supabase,realtime-subscriptions,Realtime,VITE_SUPABASE_URL,YES,lib/useSubscription.ts,"account_subscriptions, account_module_access, messages",live tier/module/message updates,Business portal / Brand portal,LIVE,No
Supabase,storage-cms-media,Storage,VITE_SUPABASE_URL,YES,lib/cms/useCmsAssets.ts,"useCmsAssets.ts:92,136, AdminMediaHub.tsx:183",cms_assets / media_library,/admin/cms/media,LIVE,No
Supabase,ai-orchestrator,EdgeFn,OPENAI_API_KEY (server-side),PLACEHOLDER,supabase/functions/ai-orchestrator/index.ts,lib/aiConciergeEngine.ts:164,match_pro_products + LLM answer + user_id,AI concierge across all portals,LIVE (keys placeholder),YES — set OPENAI_API_KEY + SUPABASE_SERVICE_ROLE_KEY in Supabase secrets
Supabase,generate-embeddings,EdgeFn,OPENAI_API_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,lib/mappingEngine.ts:89,vector embeddings for pgvector,Protocol mapping / search,DEAD — not deployed,YES — create + deploy supabase/functions/generate-embeddings/
Supabase,verify-certificate,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,"lib/useCertificates.ts:66, pages/education/CertificateVerify.tsx:42",certificates table lookup,/certificates/:token/verify,DEAD — not deployed,YES — create + deploy supabase/functions/verify-certificate/
Supabase,create-checkout,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,"lib/useSubscription.ts:112,132",account_subscriptions / Stripe session,/checkout + plan upgrade modals,DEAD — not deployed,YES — create + deploy supabase/functions/create-checkout/
Supabase,ingredient-search,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,lib/useIngredientSearch.ts:78,ingredients table search results,/ingredients search,DEAD — not deployed,YES — create + deploy supabase/functions/ingredient-search/
Supabase,scorm-runtime,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,"lib/useScorm.ts:128, pages/education/ScormPlayer.tsx:43","scorm_tracking, scorm_packages",/courses/:slug/play SCORM player,DEAD — not deployed,YES — create + deploy supabase/functions/scorm-runtime/
Supabase,calendar-create-event,EdgeFn,"VITE_GOOGLE_OAUTH_CLIENT_ID, VITE_MICROSOFT_OAUTH_CLIENT_ID",NOT SET,NOT DEPLOYED,pages/business/CrmTasks.tsx:680,"calendar_connections, Google/Microsoft Calendar API",CRM Tasks calendar sync,DEAD — not deployed + keys missing,YES — create OAuth apps + deploy function
Supabase,process-scorm-upload,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/admin/AdminCoursesHub.tsx:155,"scorm_packages, Storage",/admin/courses SCORM upload,DEAD — not deployed,YES — create + deploy supabase/functions/process-scorm-upload/
Supabase,test-api-connection,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/admin/ApiDashboard.tsx:393,api_registry test result,/admin/api-dashboard connection test,DEAD — not deployed,YES — create + deploy supabase/functions/test-api-connection/
Supabase,open-beauty-facts-sync,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/admin/AdminIngredientsHub.tsx:186,ingredients table (sync from OBF API),/admin/ingredients sync button,DEAD — not deployed,YES — create + deploy supabase/functions/open-beauty-facts-sync/
Supabase,validate-discount,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/public/Cart.tsx:24,discount_codes validation result,/cart discount input,DEAD — not deployed,YES — create + deploy supabase/functions/validate-discount/
Supabase,shop-checkout,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),PLACEHOLDER,NOT DEPLOYED,pages/public/Checkout.tsx:79,"orders, order_items, carts",/checkout order creation,DEAD — not deployed,YES — create + deploy supabase/functions/shop-checkout/
Supabase,send-email,EdgeFn,provider key (server-side),UNKNOWN,UNKNOWN — may be remote-only,lib/emailService.ts:14 (raw fetch),Transactional email (welcome/order/plan),Auth + order confirmation flows,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,feed-orchestrator,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),UNKNOWN,UNKNOWN — may be remote-only,Not called from frontend,data_feeds → market_signals (via pg_cron),Feed health dashboard,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,ingest-rss,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),UNKNOWN,UNKNOWN — may be remote-only,Not called from frontend,"rss_sources, rss_items",Feed pipeline,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,rss-to-signals,EdgeFn,SUPABASE_SERVICE_ROLE_KEY (server-side),UNKNOWN,UNKNOWN — may be remote-only,Not called from frontend,rss_items → market_signals,Intelligence feed,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,stripe-webhook,EdgeFn,Stripe webhook secret (server-side),UNKNOWN,UNKNOWN — may be remote-only,Stripe platform (webhook),account_subscriptions tier updates,Subscription management,UNKNOWN — verify in Supabase Dashboard,YES — confirm remote deployment or create locally
Supabase,market_signals,DB Table,VITE_SUPABASE_URL,YES,lib/intelligence/useIntelligence.ts,"useIntelligence (26 queries), useActionableSignals, useProductSignals",tier-filtered intelligence signals,/intelligence + all portals intelligence tabs,LIVE,No
Supabase,brands,DB Table,VITE_SUPABASE_URL,YES,Direct queries in 41 files,41 files across all portals,brand profiles + products + seed_content,/brands + /brand/* portal,LIVE,No
Supabase,orders,DB Table,VITE_SUPABASE_URL,YES,useShopOrders / direct queries,"useShopOrders, OrderDetail pages",orders + order_items,/order-history + /business/orders + /brand/orders,LIVE,No
Supabase,canonical_protocols,DB Table,VITE_SUPABASE_URL,YES,useProtocols,useProtocols + 27 direct refs,protocol steps + products + mappings,/protocols + business CRM,LIVE,No
Supabase,crm_contacts,DB Table,VITE_SUPABASE_URL,YES,useCrmContacts,useCrmContacts + 17 direct refs,contact CRUD + tags + interactions,/business/crm/*,LIVE,No
Supabase,courses,DB Table,VITE_SUPABASE_URL,YES,useCourses,useCourses + 14 direct refs,course catalog + modules + lessons,/courses + /education,LIVE,No
Supabase,cms_pages,DB Table,VITE_SUPABASE_URL,YES,useCmsPages,useCmsPages + 11 direct refs,published CMS pages,/admin/cms/pages + PageRenderer,LIVE,No
Supabase,appointments,DB Table,VITE_SUPABASE_URL,YES,useBooking,useBooking + 11 direct refs,booking calendar data,/business/booking/*,LIVE,No
Supabase,ingredients,DB Table,VITE_SUPABASE_URL,YES,useIngredients,useIngredients + 12 direct refs,ingredient details + interactions,/ingredients/*,LIVE,No
Supabase,feature_flags,DB Table,VITE_SUPABASE_URL,YES,useFeatureFlag,useFeatureFlag + 6 direct refs,flag values per user/tier/rollout,All hubs (feature gating),LIVE,No
